arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
1,François Carrard,NA,1987,2023,CHE,1939,0,1,0,0,1,"Carrard & Associés,IOC,CMS Von Erlach Poncet,FIE","761,1424,1854,142,141,157,150,149,1205,1708,1,530,605,757,985,955, 956",16,1987-01-30,2009-11-30,TRUE,84,36
2,Hans Nater,NA,1987,NA,CHE,1943,0,1,0,0,1,"Nater Dallafior Rechtsanwälte,Comité Olympique Suisse","1,OG 02-007,OG 02-002,OG 02-004,OG 04-005,642,908,OG 06-010,1171,1564,1513,1599,1915,2469-PA,3058,3555,4062,4840,4812,5950,6557, 6663,45,184,345,396,OG 02-006,990,990-O,1545,1545-PA,1452,1995, 2021,1995, 2021-PA,1994, 2020,1994, 2020-PA,2161,2083,2592,2913,2912,2797,2806,3123,3272,3759-PA,3828,4309,3903,4289,4282,4701,4698,4402,4772,4676,5702,5794, 5798,201,223,278,409,378,718,607,OG 04-003,952,976, 986,1024,1165,1153,1102, 1146,JO 06-003,1150,1274,1348,1488,1957,1892,2675,2574,2924,2895,2760,2785, 2790,3417,3559,3863,3518,4504,4488,4481,5822,5592,5658",94,1987-01-30,2020-12-10,FALSE,NA,NA
3,Jean Gay,NA,1987,2022,CHE,1946,0,1,0,0,0,NA,"180,4848,4510,1,2574,10,1747,2585",8,1987-01-30,2017-10-27,TRUE,76,35
4,Murray Rosen,NA,1987,2023,GBR,1953,0,1,0,0,0,"Lincoln's Inn,Herbert Smith Freehills","5178,5124,6807,5373,5317,5193,4962,5104,5072,4979,5713,5654, 5655,5785,ADD 2,ADD 1,ADD 38",16,2017-08-03,2023-01-03,TRUE,70,36
5,Anton Cottier,NA,1989,2006,CHE,1943,0,1,0,1,0,NA,"10,103",2,1989-07-15,1993-11-15,TRUE,63,17
6,Jacques Hochstaetter,NA,1989,2001,CHE,1928,0,1,1,0,0,NA,10,1,1989-07-15,1989-07-15,TRUE,73,12
7,Benigno Alvarez,NA,1992,2001,CHE,NA,0,NA,NA,NA,NA,NA,53,1,1992-01-15,1992-01-15,TRUE,NA,9
8,Denis Lévy,NA,1992,2003,FRA,1920,0,1,1,0,0,NA,71,1,1992-10-20,1992-10-20,TRUE,83,11
9,Denis Oswald,NA,1992,NA,CHE,1947,0,1,1,0,1,World Rowing Federation,"45,103,129,147,139,450,830,1025,1494,1832,1831,1984,2172,4018,80,180,218,214,211,208,253,230,229,274,340,337,355,354,432,399,385,507,549,544,958,958-O,829,1155,1132,1413,1595,1572, 1632, 1659,1502,1920,2293,2110,2275,2543,2543-O,2525,2677,2612,2601,2403,3041,2702,3037,2731,3278,3058,3050,3148,4255,3872,4761,4758,5373,5800,7590, 7591,53",70,1992-01-15,2021-12-23,FALSE,NA,NA
10,Gérard Rasquin,NA,1992,2006,LUX,1927,0,1,0,0,1,COSL,"80,128,56,86,73,71,63,109,123,144,141,175,214,185,230,290,318,423,382,379,431,791,791-PA,761,553",25,1992-06-25,2007-07-17,TRUE,79,14
